시도명,시군구명,시군구코드,기준년도,전국침엽수면적,전국활엽수면적,전국혼효림면적,전국침엽수온실가스흡수량,전국활엽수온실가스흡수량,전국혼효림온실가스흡수량,합계자연녹지온실가스흡수량,전국공원녹지면적,전국완충녹지면적,전국경관녹지면적,전국연결녹지면적,전국공원녹지온실가스흡수량,전국완충녹지온실가스흡수량,전국경관녹지온실가스흡수량,전국연결녹지온실가스흡수량,전국합계인공녹지온실가스흡수량,전국합계온실가스흡수량
서울특별시,종로구,11110,2015,186,225,269,1371.13,2537.25,2770.81,6679.19,645.05,38170.76,18360.74,11623.7,5160.4,30.536608,14.688592,9.29896,5214.92,11894.12
서울특별시,중구,11140,2015,9,95,20,66.345,1071.28,206.0083333,1343.64,308.29,24535,21650,1168,2466.32,19.628,17.32,0.9344,2504.2,3847.84
서울특별시,용산구,11170,2015,50,56,73,368.5833333,631.4933333,751.9304167,1752.01,78.44,36345.9,13758.7,29118,627.52,29.07672,11.00696,23.2944,690.89808,2442.91
서울특별시,성동구,11200,2015,0,16,2,0,180.4266667,20.60083333,201.0275,122.6,29043.2,3636.6,4037,980.8,23.23456,2.90928,3.2296,1010.17,1211.2
서울특별시,광진구,11215,2015,116,50,39,855.1133333,563.8333333,401.71625,1820.66,295,18861.2,185.3,0,2360,15.08896,0.14824,0,2375.24,4195.9
서울특별시,동대문구,11230,2015,17,72,27,125.3183333,811.92,278.11125,1215.35,103.9,27446.2,14827.98,27394,831.2,21.95696,11.862384,21.9152,886.934544,2102.28
서울특별시,중랑구,11260,2015,155,277,81,1142.61,3123.64,834.33375,5100.58,505.17,112869,16540,0,4041.36,90.2952,13.232,0,4144.89,9245.47
서울특별시,성북구,11290,2015,181,299,310,1334.27,3371.72,3193.13,7899.12,447.06,42311,33321.7,5669,3576.48,33.8488,26.65736,4.5352,3641.52,11540.65
서울특별시,강북구,11305,2015,115,450,461,847.7416667,5074.5,4748.49,10670.73,228.02,11050,10266.7,0,1824.16,8.84,8.21336,0,1841.21,12511.95
서울특별시,도봉구,11320,2015,65,558,261,479.1583333,6292.38,2688.41,9459.95,115.12,20015.1,8088.6,0,920.96,16.01208,6.47088,0,943.44296,10403.39
서울특별시,노원구,11350,2015,370,576,346,2727.52,6495.36,3563.94,12786.82,1385,108246,18483,59768,11080,86.5968,14.7864,47.8144,11229.2,24016.02
서울특별시,은평구,11380,2015,331,550,294,2440.02,6202.17,3028.32,11670.51,623,42761.6,8725,69144.2,4984,34.20928,6.98,55.31536,5080.5,16751.02
서울특별시,서대문구,11410,2015,122,272,89,899.3433333,3067.25,916.7370833,4883.33,490.12,380495.4,62140.1,8603.3,3920.96,304.39632,49.71208,6.88264,4281.95,9165.28
서울특별시,마포구,11440,2015,16,59,9,117.9466667,665.3233333,92.70375,875.97375,318.07,208002.4,61755.28,2811,2544.56,166.40192,49.404224,2.2488,2762.61,3638.59
서울특별시,양천구,11470,2015,60,151,70,442.3,1702.78,721.0291667,2866.11,248.35,140157,3100,0,1986.8,112.1256,2.48,0,2101.41,4967.51
서울특별시,강서구,11500,2015,77,212,91,567.6183333,2390.65,937.3379167,3895.61,324.47,144971,11122,233599,2595.76,115.9768,8.8976,186.8792,2907.51,6803.12
서울특별시,구로구,11530,2015,33,279,43,243.265,3146.19,442.9179167,3832.37,283.51,63731,39953.2,0,2268.08,50.9848,31.96256,0,2351.03,6183.4
서울특별시,금천구,11545,2015,33,223,66,243.265,2514.7,679.8275,3437.79,205.71,42500.8,0,0,1645.68,34.00064,0,0,1679.68,5117.47
서울특별시,영등포구,11560,2015,0,4,0,0,45.10666667,0,45.10666667,72.07,26387,13221.81,1036,576.56,21.1096,10.577448,0.8288,609.075848,654.1825147
서울특별시,동작구,11590,2015,21,127,37,154.805,1432.14,381.1154167,1968.06,440.24,14594,19246.8,3011.2,3521.92,11.6752,15.39744,2.40896,3551.4,5519.46
서울특별시,관악구,11620,2015,526,690,513,3877.5,7780.9,5284.11,16942.51,1096.92,0,6465.3,0,8775.36,0,5.17224,0,8780.53,25723.04
서울특별시,서초구,11650,2015,113,1185,294,832.9983333,13362.85,3028.32,17224.17,1507.11,715746,4513.7,14475.5,12056.88,572.5968,3.61096,11.5804,12644.67,29868.84
서울특별시,강남구,11680,2015,108,437,147,796.14,4927.9,1514.16,7238.2,513.23,188230.8,31785.5,25376.6,4105.84,150.58464,25.4284,20.30128,4302.15,11540.36
