년도,총배출량,순배출량,흡수량
1990,292.105,254.159,37.946
1991,315.353,281.386,33.967
1992,343.354,310.217,33.137
1993,378.546,346.994,31.552
1994,403.569,369.637,33.932
1995,433.788,401.627,32.161
1996,470.28,434.433,35.847
1997,501.912,461.298,40.614
1998,431.434,382.506,48.928
1999,469.415,412.334,57.081
2000,502.73,442.636,60.094
2001,516.009,456.469,59.54
2002,538.458,481.101,57.357
2003,548.808,491.937,56.871
2004,557.043,498.765,58.278
2005,561.483,505.161,56.322
2006,566.903,509.456,57.447
2007,580.196,522.071,58.125
2008,593.541,534.495,59.046
2009,597.319,538.471,58.848
2010,655.106,599.016,56.09
2011,683.798,628.553,55.245
2012,687.005,637.74,49.265
2013,695.715,650.684,45.031
2014,690.78,644.902,45.878
2015,691.341,644.769,46.572
2016,692.41,645.467,46.943
2017,709.422,667.721,41.701
2018,725.027,684.684,40.343
2019,699.214,661.494,37.72
2020,654.445,616.559,37.886
2021,676.648,638.882,37.766
